头实体,关系,尾实体,依据,文献
高温胁迫,抑制,淀粉,高温胁迫使马铃薯块茎总淀粉含量显著降低，T1处理较T2和T3处理分别降低10.25%~16.59%和19.03%~23.14%。,高温胁迫对马铃薯淀粉含量及产量的影响_王星强
高温胁迫,抑制,支链淀粉,高温胁迫导致马铃薯块茎支链淀粉含量显著下降，T1处理较T2和T3处理分别降低11.42%~16.34%和19.3%~25.5%。,高温胁迫对马铃薯淀粉含量及产量的影响_王星强
高温胁迫,抑制,直链淀粉,高温胁迫使马铃薯直链淀粉含量显著下降，T1处理较T2和T3处理分别降低3.21%~18.52%和9.29%~18.69%。,高温胁迫对马铃薯淀粉含量及产量的影响_王星强
高温胁迫,抑制,淀粉,高温胁迫显著降低淀粉积累速率，T1处理较T2和T3处理分别降低19.7%、22.7%（2018年）和18.3%、13.3%（2019年）。,高温胁迫对马铃薯淀粉含量及产量的影响_王星强
高温胁迫,抑制,淀粉,高温胁迫导致淀粉积累活跃期缩短，影响淀粉含量的最终积累。,高温胁迫对马铃薯淀粉含量及产量的影响_王星强
硫酸钾,抑制,还原糖,硫酸钾对马铃薯还原糖含量的抑制效果大于氯化钾和硝酸钾。,钾肥品种和施钾时期对马铃薯产量和品质的影响
钾肥,促进,淀粉,施用钾肥可提高淀粉含量，平均提高幅度为0.44个百分点。,钾肥品种和施钾时期对马铃薯产量和品质的影响
钾肥,促进,单薯重,施用钾肥可显著提高单薯重，平均增加12.2 g。,钾肥品种和施钾时期对马铃薯产量和品质的影响
90 kg/hm2钾肥,促进,干物质,施钾量为90 kg/hm2时，马铃薯地上部干物质量达到最高，比不施钾处理高11.38%。,施钾量对宁夏旱区马铃薯干物质积累及养分利用特性的影响
钾肥,促进,氮,施钾显著提高地上部氮含量，合适的施钾量促进地上部氮含量比对照高5.96%。,施钾量对宁夏旱区马铃薯干物质积累及养分利用特性的影响
钾肥,促进,钾,施钾显著提高地上部钾含量，比对照高3.96%～6.62%。,施钾量对宁夏旱区马铃薯干物质积累及养分利用特性的影响
钾肥,促进,干物质,施钾促进地上部光合产物向块茎的转移，加速地上部干物质积累。,施钾量对宁夏旱区马铃薯干物质积累及养分利用特性的影响
钾肥,促进,叶绿素,施钾增加了叶绿素含量，促进光合作用，提高地上部含氮量。,施钾量对宁夏旱区马铃薯干物质积累及养分利用特性的影响
90 kg/hm2钾肥,促进,干物质,90 kg/hm2钾肥提高了马铃薯干物质积累的最高速率，加快了积累过程。,施钾量对宁夏旱区马铃薯干物质积累及养分利用特性的影响
羊厩肥与NP化肥配合施用,促进,干物质,羊厩肥与NP化肥配合施用显著提高了单株干物质积累量，平均比CK处理高出32.579克/株，达到显著水平。,羊厩肥与氮磷化肥配施对马铃薯干物质积累及产量的影响
羊厩肥与NP化肥配合施用,促进,干物质,配施羊厩肥和NP化肥延长了茎叶的干物质积累时间，为块茎干物质积累奠定了基础。,羊厩肥与氮磷化肥配施对马铃薯干物质积累及产量的影响
NP化肥,促进,干物质,在无肥基础上增施NP化肥可显著提高马铃薯各时期的干物质积累量。,羊厩肥与氮磷化肥配施对马铃薯干物质积累及产量的影响
羊厩肥与NP化肥配合施用,促进,干物质,羊厩肥与NP化肥配施显著增加马铃薯块茎产量及单株干物质积累量，具有增产效果。,羊厩肥与氮磷化肥配施对马铃薯干物质积累及产量的影响
羊厩肥,促进,干物质,在无肥或NP化肥基础上施用羊厩肥，显著提高了马铃薯块茎干物质积累。,羊厩肥与氮磷化肥配施对马铃薯干物质积累及产量的影响
NP化肥,促进,干物质,NP化肥延后了地上茎叶干物质积累速率高峰时间，提高了积累效率。,羊厩肥与氮磷化肥配施对马铃薯干物质积累及产量的影响
羊厩肥,促进,干物质,羊厩肥的施用显著提高了马铃薯单株干物质的积累量，特别是在无肥基础上效果显著。,羊厩肥与氮磷化肥配施对马铃薯干物质积累及产量的影响
有机水溶性肥料,促进,干物质,试验结果表明，施用有机水溶性肥料可以显著提高马铃薯块茎的干物质积累量。,有机水溶肥料与无机肥料配施对马铃薯产量、养分吸收和品质的影响
有机水溶性肥料,促进,叶绿素,配施有机水溶肥料后马铃薯叶绿素含量增加1.64%至7.05%，显著提高了叶绿素含量并延缓叶片衰老。,有机水溶肥料与无机肥料配施对马铃薯产量、养分吸收和品质的影响
有机水溶性肥料,促进,淀粉,在推荐施肥条件下配施有机水溶肥料，马铃薯块茎淀粉含量增加至66.29%。,有机水溶肥料与无机肥料配施对马铃薯产量、养分吸收和品质的影响
有机水溶性肥料,促进,维生素C,配施有机水溶肥料显著提高了马铃薯块茎的维生素C含量，最高可达24.23%。,有机水溶肥料与无机肥料配施对马铃薯产量、养分吸收和品质的影响
有机水溶性肥料,促进,可溶性糖,施用有机水溶肥料后，马铃薯块茎的可溶性糖含量最高达1.32%，显著提高了糖含量。,有机水溶肥料与无机肥料配施对马铃薯产量、养分吸收和品质的影响
浅旋耕覆盖稻草,促进,淀粉,试验结果表明，浅旋耕覆盖稻草方式马铃薯块茎淀粉含量最高。,栽培方式对马铃薯产量和品质的影响
浅旋耕覆盖稻草,促进,维生素C,浅旋耕覆盖稻草方式的马铃薯块茎维生素C含量最高，显著高于传统垄栽和免耕覆盖稻草方式。,栽培方式对马铃薯产量和品质的影响
浅旋耕覆盖稻草,促进,干物质,试验表明，浅旋耕覆盖稻草方式的干物质含量显著高于免耕覆盖稻草方式。,栽培方式对马铃薯产量和品质的影响
浅旋耕覆盖稻草,促进,还原糖,浅旋耕覆盖稻草方式增加了马铃薯块茎还原糖含量，不利于加工品质指标的提高。,栽培方式对马铃薯产量和品质的影响
传统垄栽,促进,商品薯率,传统垄栽方式下马铃薯的商品薯率最高。,栽培方式对马铃薯产量和品质的影响
植物生长调节剂ALAFE,促进,花青素,试验结果表明，植物生长调节剂ALAFE显著提高了紫色马铃薯花青素含量，达到197.23 mg/100 g。,植物生长调节剂对紫色马铃薯花青素含量和产量的影响
植物生长调节剂ALAFE,促进,光合作用,研究表明，植物生长调节剂ALAFE通过提高光合作用，间接促进了紫色马铃薯花青素积累和产量提高。,植物生长调节剂对紫色马铃薯花青素含量和产量的影响
种植密度增加,抑制,直链淀粉,随着种植密度增加，马铃薯直链淀粉含量呈下降趋势。,种植密度对马铃薯产量和淀粉品质的影响_张中宁
种植密度增加,促进,还原糖,种植密度增加导致还原性糖含量呈上升趋势。,种植密度对马铃薯产量和淀粉品质的影响_张中宁
种植密度3500株/亩,促进,干物质,试验表明，在种植密度3500株/亩时，马铃薯块茎干物质含量最高，为23.73%。,种植密度对马铃薯加工品质的影响
种植密度3500株/亩,促进,淀粉,种植密度3500株/亩时，马铃薯淀粉含量最高，为17.96%。,种植密度对马铃薯加工品质的影响
种植密度4500株/亩,促进,蛋白质,4500株/亩种植时马铃薯块茎蛋白质含量最高，为4.21%。,种植密度对马铃薯加工品质的影响
种植密度4500株/亩,促进,淀粉膨胀度,4500株/亩种植时淀粉膨胀度最大，达到20.49%。,种植密度对马铃薯加工品质的影响
种植密度3500株/亩,促进,淀粉透明度,3500株/亩种植时马铃薯淀粉透明度最高，透光率为13.25%。,种植密度对马铃薯加工品质的影响
种植密度3500株/亩,促进,淀粉直链淀粉,3500株/亩种植时直链淀粉含量最高，为25.59%。,种植密度对马铃薯加工品质的影响
种植密度3000株/亩,抑制,蛋白质,3000株/亩种植时块茎蛋白质含量最低，为3.12%。,种植密度对马铃薯加工品质的影响
种植密度3000株/亩,促进,还原糖,3000株/亩种植时还原糖含量较高，为0.131%。,种植密度对马铃薯加工品质的影响
光合作用,促进,花青素,研究表明，植物生长调节剂ALAFE通过提高光合作用，间接促进了紫色马铃薯花青素积累和产量提高。,植物生长调节剂对紫色马铃薯花青素含量和产量的影响
马铃薯,包含,光合作用,,
马铃薯,包含,单株薯块数,,
马铃薯,包含,单薯重,,
马铃薯,包含,可溶性糖,,
马铃薯,包含,叶绿素,,
马铃薯,包含,商品薯率,,
马铃薯,包含,干物质,,
马铃薯,包含,干物质,,
马铃薯,包含,支链淀粉,,
马铃薯,包含,氨基酸,,
马铃薯,包含,氮,,
马铃薯,包含,氮利用率,,
马铃薯,包含,淀粉,,
马铃薯,包含,淀粉,,
马铃薯,包含,淀粉膨胀度,,
马铃薯,包含,直链淀粉,,
马铃薯,包含,淀粉透明度,,
马铃薯,包含,磷,,
马铃薯,包含,硝酸盐,,
马铃薯,包含,硒,,
马铃薯,包含,绿薯率,,
马铃薯,包含,维生素C,,
马铃薯,包含,钾,,
马铃薯,包含,蛋白质,,
马铃薯,包含,还原糖,,
马铃薯,包含,花青素,,
